category;common_name;diseases_pests;exposure;family;flowering;flowers_color;foliage_type;height;latin_name;multiplication_methods;origin;plant_type;plantation_repotting;related_species;rusticity;soil_acidity;soil_humidity;soil_type;synonyms;trimming;toxicity;usage;vegetation_type
;;;ensoleillée;Astéracées, Composées;juin à août;jaune;persistant;50 cm;Santolina chamaecyparissus;bouture, semis;bassin méditerranéen;sous-arbrisseau;printemps, automne;;rustique - 15°C;indifférent;normal à sec;pauvre et drainant;;;;massif, haie basse, couvre-sol;vivace
;;les limaces, les pucerons;soleil;|Labiacées,
                    Lamiacées, Labiées|;de mai aux gelées;rouge, jaune, rose;caduc;120 m;Salvia microphylla;semis, bouturage;Mexique;arbuste à fleurs;|printemps, dans les sols retenant l'eau, mettez une bonne
                    couche de graviers pour assurer un bon drainage pendant l'hiver.|;;-12°C, rustique;neutre;normal;ordinaire, bien drainé;Salvia grahamii;rabattez la sévèrement en mars;;haie libre, bordure, massif, pot;vivace
;;résistant aux maladies;soleil, mi-ombre;Rosacées;été;rose, blanc;caduc;jusqu'à 1,5m;Spiraea japonica;semis au printemps, bouturage en été;Japon, Chine;arbuste à fleurs;printemps, automne;;très rustique;neutre;frais;riche, drainé;;;;massif, isolé, couvre-sol pour les variétés naines, bacs;vivace
;;;mi-ombre à plein soleil;Oléacées;mai, juin;mauve;caduc;2 m;Syringa x persica;boutures, semis, division de rejet;horticole;arbuste;automne, printemps;;très rustique, -29°C;neutre à basique;frais;terre riche et bien drainée;;;;en isolé, en massif;arbustive
;;résistant aux maladies et aux parasites;soleil;Tamaricacées;mai à août;rose;caduc;6 m;Tamarix;bouture à l'automne;Asie, Europe;arbuste à fleurs;printemps, automne;;rustique;neutre;normal, sec;ordinaire, léger;;Rabattez sévèrement après la floraison pour conserver un port compact;;isolé, haie brise vent, haie libre;vivace
;;;ensoleillée;Wintéracées;été;crème;persistant;2 à 4 m;Tasmannia lanceolata;;Australie;arbuste persistant pour climat doux et humide;automne jusquà mars;;rustique, -15°C;acide à neutre;normal à frais;riche et humifère;Drimys lanceolata, Winterania lanceolata, Drimys aromatica;;;en isolé, massif, haie, plante condimentaire;arbustive
;;les pucerons, l'oïdium, l'humidité;soleil, mi-ombre, à l'abri des vents froids;Scrophulariacées;juin à septembre;bleu, rose, blanc;persistant;de 10 cm à 2 m selon les espèces;Hebe;semis en mai, bouturage en été;Nouvelle Zélande, Australie, Nouvelle-Guinée, Amérique du sud;arbuste à fleurs;printemps;;moyennement rustique, plante à protéger;neutre, calcaire;frais;ordinaire, bien drainé;;Aucune taille n'est nécessaire. Coupez les branches disgraçieuses en mars;;rocaille, massif, couvre-sol, bac;vivace
;;résistant aux insectes et aux maladies;soleil;Verbénacées;août à septembre;lilas, odeur poivrée;caduc;jusqu'à 8 m;Vitex agnus-castus;bouturage herbacé en été;bassin méditerranéen et asie centrale;arbuste à fleurs;printemps, automne;;-15°C, assez rustique;neutre;normal;sol ordinaire bien drainé, résiste à la sécheresse;;pas de taille nécessaire;;massif, haie libre, isolé;vivace
;;le feu bactérien;soleil, mi-ombre;Rosacées;avril, mai;blanc;caduc;de 3 à 10 m selon les espèces;Amelanchier;|Semis en pépinière dès la maturité des graines (stratification préferable au
            préalable), boutures herbacées en juin ou semi-ligneuses en août/septembre à l’étouffée, marcottage,
            séparation des rejets|;Amérique du nord, Europe pour Amelanchier ovalis;arbre;en automne pour être assuré de profiter de la floraison dès le premier printemps;;très rustique;|tous les amélanchiers américains sont acidophiles. Amelanchier asiatica tolère le
            calcaire|;frais;riche, profond;;|Les jeunes sujets peuvent subir une taille légère juste après la floraison afin d’équilibrer la
            silhouette et de l’aérer. N’intervenez qu’en cas de réelle nécessité. Il faut toutefois empêcher un
            buissonnement trop dense car lorsque les tiges sont trop serrées, elles ont tendance à s’entrelacer.|;fruits comestibles, utilisables en tarte, en confiture ou en fruits frais;haie libre, isolé;vivace
;;les cochenilles, l'anthracnose;soleil, mi-ombre;Légumineuses, Fabacées, Papilionacées;avril;mauve, rose, blanc;caduc;10 m;Cercis siliquastrum;semis, bouturage en août;sud de l'Asie;arbre;automne;;rustique, à protéger des vents froids;neutre à acide;frais;riche en humus, profond;;;;isolé, bosquets;vivace
;;;ensoleillée;Légumineuses, Fabacées, Papilionacées;mai à juillet;jaune;semi-persistant;2 à 3 m;Argyrocytisus battandieri;semis;Maroc;petit arbre très florifère;printemps;;rustique jusqu'à -12 °C;acide à neutre;normal à sec;drainant;Cytisus battandieri;;;massif, talus, terrain pauvre;arbustive
;;l'oïdium, les pucerons;soleil, mi-ombre;Rosacées;mai;blanc, rose, rouge;caduc;de 5 à 10 m;Crataegus laevigata;semis, bouturage, greffage;Europe, Amérique du nord;arbuste à fleurs;printemps, automne;;très rustique;neutre;normal;ordinaire;;Taillez l'aubépine après la floraison;fruits comestibles, fleurs et écorce pouvant être utilisées en infusion;haie libre, haie défensive, haie campagnarde, isolé et conduit en arbre;vivace
;;chlorose;ensoleillée à mi-ombre;Ericacées;mai;rouge, rose, saumon;persistant;1 à 2 m;Azalea x kurume;boutures, marcottages, semis;Japon;arbuste de terre de bruyère;printemps, automne;;rustique -12°C;acide à légèrement acide;normal à frais;léger, riche et drainant;Rhododendron x kurume;remise en forme des adultes, taille des jeunes sujets pour une bonne ramification;plante toxique qui renferme dans ses feuilles un glucoside;massif, potée, bonsaï;vivace
;;les taches foliaires, la chlorose, systématique quand les racines rencontrent du calcaire. Quant au célèbre " tigre du rhododendron ", c'est un petit insecte qui picore les feuilles et provoque rarement des dégâts bien méchants;mi-ombre, orientation nord-ouest idéale, le soleil direct de la matinée et l'ombre l'après-midi;Ericacées;mars à juillet;rose, rouge, jaune, orange, blanche;plus ou moins rustique, selon les espèces;varie selon les variétés de 30 cm à 4 m;Azalea, Rhododendron;boutures, marcottage, semis;Asie;arbuste ou arbrisseau à fleur;automne;;rustique;légèrement acide à très acide;normal à frais, ne pas arroser avec de l'eau calcaire;humifère et drainant, non calcaire;Rhododendron;;Le Rhododendron est une plante toxique qui renferme dans ses feuilles un glucoside fortement émétique (substance qui fait vomir). Il semblerait que le miel obtenu à partir des fleurs de certains rhododendrons asiatiques puisse engendrer des troubles intestinaux.;massif de plantes de terre de bruyère, isolé ou pot, en bonsaï;vivace
;;;mi-ombre à ombre claire;Bégoniacées;juillet à octobre;orange, rouge, rose, jaune, blanc;persistant;40 à 70 cm en tout sens;Begonia boliviensis;boutures, semis;Argentine, Bolivie;plante à tubercule;printemps;;non rustique, 5 °C;légèrement acide à neutre;frais;riche et humifère;;;;plante pour jardinière;vivace
;;|Peu fréquent sur cette espèce ; on trouve parfois des pucerons, de l'oïdium ou plus rarement des taches foliaires noires.|;Plein soleil, éventuellement mi-ombre;Berbéridacées;Avril-mai;Jaunes à orange;Persistant;entre 2,50m et 3m;Berberis darwinii;Le semis fonctionne bien au mois de mars, mais la fidélité par rapport à la plante mère est peu respectée. Pour pallier cela on choisira un bouturage semi-ligneux à l'étouffée, en été.;Chili, Argentine;Arbuste;A l'automne ou au printemps de préférence;;- 15°C à -20°C;Indifférent, mais pas trop acide;Bien drainé, sans eau stagnante;Sol ordinaire, tant qu'il est bien drainé;;|Il ne se taille pas vraiment ; on supprimera à la rigueur juste les fleurs fanées si l'on veut éviter les fruits. On supprimera aussi, toujours après la floraison, les tiges altérant l'esthétisme de son port.|;Les fruits, lorsqu'ils ne sont pas mûrs sont légèrement toxiques. Une fois arrivés à maturité ils sont comestibles.;En massif ou en haie;Feuillu
;;;soleil à mi-ombre;Berbéridacées;avril, mai;orange;persistant;jusqu'à 2m;Berberis linearifolia;bouture;Amérique du sud;arbuste ornemental;automne, printemps;;rustique, -26°C;légèrement acide à légèrement basique;normal;drainant;;;;isolé, haie, massif;vivace
;;;ensoleillée à mi-ombre;Légumineuses, Fabacées, Papilionacées;mai;jaune;caduc;4 à 6 m;Caragana arborescens;semis, bouture, greffe;Europe de l'Est, Mongolie, Sibérie;arbuste ou petit arbre;printemps, automne;;très rustique, jusqu'à -42°C;légèrement acide à très basique;normal à sec;tolérant;;;;ornementale, alimentaire, coupe-vent;vivace
;;;ensoleillée à semi-ombragée;Légumineuses, Fabacées, Papilionacées;avril-mai;mauve;caduc;3 à 7 m;Cercis canadensis;bouturage, semis;Amérique du Nord;petit arbre florifère;printemps, automne;;très rustique, jusqu'à -29°C;très acide à basique;normal à frais;préfère les sols limoneux, mais est tolérant;;;;massif, en isolé, mellifère, condimentaire;arborée
;;;mi-ombre;Rutacées;printemps, automne;blanc;caduc;1,50 m à 2,50 m;Choysia ternata 'Sundance';bouturage;Sud des USA, Mexique;arbuste ornemental;printemps;;rustique, -15 °C;acide à alcalin;normal;très tolérant;;;;haie libre, massif, en isolé;arbustive
;;résistant aux maladies;soleil, mi-ombre, éviter les vents froids;Rutacées;avril, mai et remontée en septembre;blanc, odorant;persistant;de 2 à 3 m;Choisya ternata;bouturage en juillet-août;Amérique centrale;arbuste;automne, printemps;;rustique, jusqu'à -15°C en plein terre, à protéger des vents froids;neutre à acide, légèrement calcaire;normal;ordinaire, bien drainé;;Pas de taille nécessaire;;haie libre, haie taillée, haie fleurie, bac;vivace
;;la tavelure, les pucerons, le feu bactérien, traitez préventivement à la bouillie bordelaise au printemps et en automne au moment de la chute des feuilles;soleil, mi-ombre, de préférence à l'est;Rosacées;de février à avril avant l'apparition du feuillage;blanc, rose, rouge;caduc;de 2 à 6 m;Chaenomeles;semis après avoir fait stratifier les graines, séparation des drageons, boutures à talon de 10 cm de long, prélevées sur des pousses latérales en août, utilisez de l'hormone de bouturage pour améliorer vos chances de succès, vous conserverez la bouture à l'intérieur;Asie;arbuste à fleurs;printemps, automne;;Parfaitement rustiques, ils supportent jusqu'à - 25 °C. Très résistants à la pollution atmosphérique, ils sont indiqués pour dans les jardins de ville et sur les balcons.;neutre, calcaire accepté;normal;tout type de sol, bien drainé;;La taille se pratique après la floraison en juin et en septembre, de façon à éliminer les rameaux en surnombre et pour dégager le centre de l'arbre.;des fruits décoratifs qui sont comestibles une fois cuit. Ils sont utilisés pour faire des confitures ou pour réaliser des liqueurs. On réalise également des parfums à partir du fruit qui est très odorant, c'est "l'essence de Cananga".;haie libre, haie défensive, massif, bonsaï, bac;vivace
;;;ensoleillée à mi-ombre;Cornacées;mai à juin;blanc;caduc;1,2 m  à  2 m;Cornus alba;semis, bouture, marcotte;Europe de l'est, Asie;arbustif;automne jusqu'à mars;;très rustique, jusqu'à -39°C;moyennement acide à neutre;frais à normal;marne, argile, limon, sable;;;;haie, massif;vivace
;;Anthracnose;Du plein soleil à la mi-ombre, plutôt légère;Cornacées;De mai à juin;Blanches, en ombelles;Caduc;De 10 à 20m. En général il faut compter une douzaine de mètres;Cornus controversa;On optera pour le semis sous châssis en octobre ou en plein air en mars après stratification hivernale. On peut pratiquer un bouturage herbacé en juin. C. controversa 'Variegata' sera lui greffé en décembre;Japon, Corée, Chine;Arbre ou grand arbuste;A l'automne et au printemps uniquement, parfois en hiver en dehors des périodes de gel;;Rustique, -15°C sans soucis;Acide à neutre de préférence, même si les sols légèrement alcalins conviennent aussi;Sol plutôt frais, même humide voire inondé sur de courtes périodes. Trop sec, il ne réussit pas à ce cornouiller;Assez indifférent, un peu argileux, sableux ou sablo-humique;;Aucune taille nécessaire. Il faut que son magnifique port s'exprime naturellement. On peut supprimer les inflorescences fanées;;Seul sur une vaste pelouse ou en massif associé à des arbustes et des vivaces;Feuillu
;;l'anthracnose;ensoleillée à mi ombre;Cornacées;fin avril début mai;bractées blanches ou roses;caduc;de 3 à 6m;Cornus florida;stratification des graines et plantation au printemps, bouturage herbacée en mai, bouturage en septembre;Amérique du nord;arbuste à fleurs;à lautomne ou au printemps;;rustique, -25 ° minimum;neutre à acide;normal à humide;tout type de sol assez riche et pas trop compact;;seulement pour limiter lencombrement;;haie libre, isolé, massif;vivace
;;;ensoleillée à mi-ombre;Cornacées;mai à juillet;bractées blanches ou roses;caduc;4 à 5 m;Cornus kousa;semis, bouturage, greffe;Japon, Chine, Corée;arbre de petit développement;à lautomne ou au printemps;;rustique, -20 ° minimum;acide à neutre;frais, mais drainant;sol riche, humifère;;;;en isolé ou dans un massif, grand bac;vivace
;;;ensoleillé à mi-ombre;Cornacées;mai, juin;grandes bractées blanches;caduc;5 à 10 m;Cornus x 'Venus';breveté;horticole;arbre moyen à fleurs;automne jusqu'à mars;;rustique jusqu'à - 20°C;acide à légèrement acide;plutôt frais et drainant;humifère;;;;en isolé, en massif;arborée
;;résistant aux insectes et aux maladies;mi-ombre;Hamamélidacées;de mars à avril , avant les feuilles, sur les rameaux de un an et plus;jaune vif à jaune primevère, fleurs légèrement parfumées;caduc;de 2,50 à 3,50 m;Corylopsis pauciflora;Semis sous châssis en automne. Boutures herbacées en juin ou demi-aoûtées fin juillet, sous abri à l’étouffée avec hormones et une légère chaleur de fond (21 °C). Marcottage en octobre dans un substrat très humide.;Japon (Honshu), Taïwan;arbuste à fleurs;au début de l'automne de préférence;;rustique, - 15 °C;de préférence acide;il est important que le sol retienne bien l'humidité, mais ne soit jamais gorgé d'eau;fertile, humifère, frais mais bien drainé;;après la floraison, et seulement si nécessaire, éliminez les branches en surnombre ou mal placées et cherchez à équilibrer la silhouette naturellement arrondie du corylopsis;;haie libre, isolé;vicace
